Название,Время чтения,Просмотры,Текст,Ключевые слова,Ссылка
Нагружаем и отдыхаем: load testing без стресса ч.2 — автоматизация,12 мин,Количество просмотров1.3K,"Привет, Хабр, это снова Валентина, которая отвечает за качество low-code платформы Eftech.Factory в компании Effective Technologies. Представляю вторую статью из серии публикаций о наших практиках нагрузочного тестирования (НТ). Первую, про поиск оптимального процесса НТ, можно прочесть здесь. На этот раз я собираюсь поделиться рекомендациями по автоматизации рутины и отчётности.","Блог компании Effective Technologies, Тестирование IT-систем*",https://habr.com/ru/companies/eftech/articles/856240/
"Делаем форму обратного звонка: лендинг, Go и SMS-уведомления",10 мин,Количество просмотров1.8K,"Привет, Хабр! Меня зовут Екатерина Саяпина, я Product Owner личного кабинета платформы МТС Exolve. Сегодня расскажу, как создать простую, но эффективную форму обратного звонка с SMS-уведомлениями. Дам пример для сценария, когда клиент оставляет заявку через форму, а менеджер связывается с ним через Callback API. После успешного разговора система автоматически отправляет SMS через SMS API с подтверждением договоренностей и следующими шагами.","Блог компании МТС, Go*, API*, Веб-разработка*",https://habr.com/ru/companies/ru_mts/articles/856232/
Как AMD выкрутилась и научилась воспроизводить операции ядер CUDA на своих видеокартах. История ROCm,8 мин,Количество просмотров36K,Неспециалист в области ИИ 🍨,"Блог компании RUVDS.com, IT-компании, Видеокарты, Высокая производительность*, Компиляторы*",https://habr.com/ru/companies/ruvds/articles/847792/
Шифрование бэкапов с использованием age и о ценности простоты,6 мин,Количество просмотров2.4K,"Бэкапы надо хранить (лучше - хранить во множестве копий, в том числе, обязательно, где-то снаружи) и их надо шифровать. С этим вроде как все согласны, но на самом деле - мало кто делает. Значит, люди делятся на тех, кто еще не шифрует бэкапы (не смогли еще реалистично представить-ощутить возможные риски) и ответственных опытных людей, чьи дикпики увидел весь Интернет (кого мы знаем, образно выражаясь, в лицо).  Теперь, когда мы уже, оказывается, некоторым образом давно знакомы, позвольте перейти к статье.","DevOps*, Информационная безопасность*, Криптография*, Резервное копирование*, Серверное администрирование*",https://habr.com/ru/articles/856222/
Сертификация ФСТЭК: самый подробный гайд. Часть первая – подготовка,6 мин,Количество просмотров1.6K,"Сертификация по требованиям ФСТЭК России остается ключевым инструментом обеспечения информационной безопасности в России, особенно в последние годы. На чем бы ни специализировалась ваша организация, лицензирование и сертификация товаров и услуг, связанных с защитой конфиденциальности и безопасной обработкой данных, имеет важное значение. Однако, для многих разработчиков процесс выглядит непонятным, приходится разбираться на ходу, из‑за чего проведение сертификационных испытаний может затянуться на год и более. Мы в eXpress изначально выбрали стратегию security‑first — и стали единственным супераппом в классе «онлайн‑коммуникации», сертифицированным ФСТЭК России по 4 уровню доверия.","Блог компании eXpress, Информационная безопасность*",https://habr.com/ru/companies/express/articles/856192/
Кто не успел — тот не опоздал: все выступления с IT Elements 2024 в одном посте,10 мин,Количество просмотров1.7K,Тук-тук! Мы снова про IT Elements. На этот раз собрали видео и презентации с выступлений и удобно разбили их на треки. Смотрите и пересматривайте!,"Блог компании Инфосистемы Джет, IT-инфраструктура*, Сетевые технологии*, Информационная безопасность*, Конференции",https://habr.com/ru/companies/jetinfosystems/articles/856102/
Поиск ошибок в юнит-тестах,13 мин,Количество просмотров1.7K,,"Блог компании PVS-Studio, C*, Информационная безопасность*, Программирование*, Разработка под Linux*",https://habr.com/ru/companies/pvs-studio/articles/856220/
История создания MS-DOS: Как 75 тысяч долларов изменили судьбу Microsoft,11 мин,Количество просмотров12K,"Представьте себе время, когда персональные компьютеры только появились, а концепция графического интерфейса пользователя была еще далекой мечтой. Эта эпоха ознаменовала собой расцвет MS-DOS. Почти пятнадцать лет DOS была основой, от которой зависели тысячи прикладных программ, работающих на миллионах IBM PC и клонов PC.","Блог компании FirstVDS, История IT, Операционные системы, Программирование*, Научно-популярное",https://habr.com/ru/companies/first/articles/856212/
"Графики, которые работают: выбор лучшей визуализации",4 мин,Количество просмотров9.7K,Всем привет!,Визуализация данных*,https://habr.com/ru/articles/856206/
Книга: «Git: контроль версий. 3-е изд.»,11 мин,Количество просмотров5.5K,Пользователь,"Блог компании Издательский дом «Питер», Git*, GitHub*, Профессиональная литература*",https://habr.com/ru/companies/piter/articles/854422/
Автоматизация сетевого оборудования на Python. Работа через jump-host,18 мин,Количество просмотров1.1K,"В моей первой статье на сайте об автоматизации оборудования Juniper в качестве подопытного выступал коммутатор, который стоит под столом, и до которого имеется полный прямой доступ по сети. Однако, такая ситуация скорее исключение. Безопасности работы сетевого оборудования в наше время, когда практически все аспекты жизни завязаны на ""всемирную паутину"" и различные онлайн-сервисы, уделяется повышенное внимание. И один из подходов к повышению безопасности - использование доступа к оборудованию только с выделенных устройств, которые называют jump host или bastion. В дальнейшем я буду писать ""сервер"" подразумевая jump host. Сценарий работы в этом случае обычно выглядит так: пользователь подключается к серверу по SSH, а уже с него выходит по SSH, telnet либо другому протоколу на оборудование. Ну и на самом оборудовании установлены списки доступа, запрещающие подключение откуда-либо, кроме отдельных разрешенных адресов. Схема простая и рабочая. И в большинстве случаев не создает каких-то особых неудобств в работе. Но, в случае с автоматизацией, тут есть о чем подумать. Теперь мы должны сделать непростой выбор: либо наши скрипты должны запускаться прямо на этом сервере, с которого прямой доступ до оборудования имеется, либо наша программа должна учесть наличие промежуточного устройства и научиться с ним работать. У первого подхода, кроме преимущества простоты, есть и определенные подводные камни:","Блог компании Ростелеком, Python*, Сетевое оборудование",https://habr.com/ru/companies/rostelecom/articles/823282/
"Записываем PNG без мам, пап и внешних библиотек",9 мин,Количество просмотров13K,Пользователь,"Блог компании Selectel, Алгоритмы*, Обработка изображений*, Сжатие данных*",https://habr.com/ru/companies/selectel/articles/856084/
Обзор блокчейн-мостов: взаимодействие между разными сетями,24 мин,Количество просмотров846,"Привет, Хабр! В этой статье я расскажу, почему мосты между блокчейнами важны для криптоэкосистемы, разберем их базовую архитектуру, а также классификацию и типы мостов. Бонус: в конце статьи вы найдете инструкцию как сделать свой мост.","Блог компании MetaLamp, Solidity*, Децентрализованные сети*, Криптовалюты",https://habr.com/ru/companies/metalamp/articles/856188/
Антитренды в мобильной разработке на Flutter,7 мин,Количество просмотров3.1K,"Привет, Хабр! Меня зовут Екатерина, я Flutter-разработчик в компании Friflex. Мы создаем мобильные приложения и сайты для бизнеса.","Блог компании Friflex, Flutter*, Разработка мобильных приложений*",https://habr.com/ru/companies/friflex/articles/854292/
Чек-лист: проверяем веб-страницы на соответствие стандартам WCAG,14 мин,Количество просмотров944,"При создании этого чек-листа в качестве основной точки отсчёта использовалось Руководство по обеспечению доступности веб-контента (WCAG, Web Content Accessibility Guidelines). WCAG — это универсальный стандарт для обеспечения доступности веб-контента, применимый для физических лиц, организаций и государственных структур.","Блог компании OTUS, Тестирование веб-сервисов*, Usability*, Accessibility*",https://habr.com/ru/companies/otus/articles/856172/
Алгоритмы поиска путей на пальцах. Часть 2: Алгоритм Дейкстры,8 мин,Количество просмотров3.8K,"В прошлой части мы разбирали алгоритм поиска в ширину, который находил самый короткий путь между узлами, основываясь на количестве пройденных рёбер.","Python*, Алгоритмы*",https://habr.com/ru/articles/856166/
Переход с одной SIEM-системы на другую: пошаговая инструкция,6 мин,Количество просмотров1.1K,"Всем привет! Меня зовут Геннадий Мухамедзянов, в ИТ я более 20 лет, половину из них ― в кибербезопасности. У меня богатый опыт работы в центрах мониторинга ИБ, где я занимался установкой и настройкой различных СЗИ, в том числе систем класса SIEM.","Блог компании Positive Technologies, Информационная безопасность*, IT-инфраструктура*, Антивирусная защита*",https://habr.com/ru/companies/pt/articles/856156/
macOS сильно переоценена,9 мин,Количество просмотров22K,"Добрый день, сегодня я бы хотел с вами обсудить очень противоречивую для меня операционную систему - macOS. Вокруг неё ходит довольно много легенд, слухов и мифов о непревзойдённом User Friendly интерфейсе, которые я попробую сегодня развеять. Усаживайтесь поудобней, ведь статья будет интересна как для бывалых МАКоводов, так и тем, кто ни разу не видел эту операционную систему вживую.","Операционные системы, Графический дизайн*, История IT, Дизайн, Разработка под macOS*",https://habr.com/ru/articles/856038/
Компьютерное зрение на С++: подключаем ML-библиотеки и обрабатываем результаты поиска объектов,25 мин,Количество просмотров4.3K,"Привет, Хабр! Меня зовут Кирилл Колодяжный, я разрабатываю системы хранения данных в YADRO и изучаю нестандартные подходы к машинному обучению: создаю ML-проекты на С++.","Блог компании YADRO, C++*, Машинное обучение*, Разработка под Android*, Разработка мобильных приложений*",https://habr.com/ru/companies/yadro/articles/856110/
Как выбрать репетитора по программированию для ребенка,8 мин,Количество просмотров337,"Выбор репетитора по программированию — задача, кажущаяся простой. Но на практике она сложна и требует ответственного подхода к решению: даже одна несущественная ошибка негативно повлияет на результативность процесса обучения. Отказ от учета образования, загруженности наставника и других факторов нередко приводит к тому, что после завершения условного персонального курса узкие знания и навыки ребенка остаются на прежнем уровне.","Блог компании Пиксель, Программирование*, Учебный процесс в IT",https://habr.com/ru/companies/pixel_study/articles/856158/
Путь к геометрии Лобачевского 6: финал,8 мин,Количество просмотров2.1K,Часть 1: скалярное произведение и метрикаЧасть 2: сфераЧасть 3: стереографическая проекцияЧасть 4: псевдосфераЧасть 5: модель Пуанкаре в круге,"Математика*, Научно-популярное",https://habr.com/ru/articles/855470/
Онлайн-курсы дизайна для детей: ТОП-10 бесплатных и платных вариантов,8 мин,Количество просмотров379,"Курсы дизайна для детей развивают творческое мышление, учат работать с компьютерной графикой, прокачивают восприятие эстетики и понимание композиции, а также дают другие полезные эффекты. Это, скажем, владение Photoshop и Illustrator от Adobe, Figma и не только. А мы хотим поговорить не о пользе, а о платных и бесплатных курсах с образовательными программами, напоминающими художественные занятия, но основанные на цифровом творчестве – современном и востребованном направлении.","Блог компании Пиксель, Программирование*, Дизайн, Графический дизайн*",https://habr.com/ru/companies/pixel_study/articles/856146/
Security Week 2445: zero-click-уязвимость в NAS-устройствах Synology,4 мин,Количество просмотров2.1K,Пользователь,"Блог компании «Лаборатория Касперского», Информационная безопасность*",https://habr.com/ru/companies/kaspersky/articles/856122/
Алгоритмы поиска путей на пальцах. Часть 1: Поиск в ширину,7 мин,Количество просмотров2.9K,"Давайте представим, что вы устроились много лет назад в 2GIS и вам выпала честь написать алгоритм, который будет прокладывать самый короткий автомобильный маршрут от точки A к точке B.","Python*, Алгоритмы*",https://habr.com/ru/articles/856138/
"Создателю Флибусты Стиверу, с благодарностью от Java",4 мин,Количество просмотров17K,20 октября после продолжительной борьбы с глиобластомой скончался первоначальный автор декомпилятора Java Fernflower Стивер.,Java*,https://habr.com/ru/articles/856128/
Личный опыт: добавление микроразметки на сайт,5 мин,Количество просмотров1.7K,"Меня зовут Никита Неминущий, я ведущий инженер-программист финансового маркетплейса «Выберу.ру». В этой статьей я хотел бы рассказать, как на нашем сайте была реализована микроразметка и поделиться своим опытом ее доработки.",".NET*, HTML*",https://habr.com/ru/articles/856120/
"Очередная реализация fluid sim методом Эйлера, но в блокноте WL. Часть 1",12 мин,Количество просмотров736,"Здесь мы рассмотрим простой метод симуляции несжимаемой жидкости в 2D для визуальных эффектов в интерактивном блокноте (впервые). Основная идея основана на работе Йоса Стама Stable Fluids, представленной на SIGGRAPH 1999, а также на учебном пособии Карла Симса.","Программирование*, Математика*",https://habr.com/ru/articles/856020/
Как я писал суперкастомизированное Android-приложение в 2024 году,19 мин,Количество просмотров5.4K,"Android developer, photographer and traveler","Блог компании RUVDS.com, Kotlin*, Алгоритмы*, Разработка мобильных приложений*, Разработка под Android*",https://habr.com/ru/companies/ruvds/articles/851256/
Сравнение операторов RxJava 3 и Kotlin Coroutines Flow,7 мин,Количество просмотров1.8K,"Привет, Хабр! Меня зовут Константинов Александр, я Android-разработчик в «Студии Олега Чулакова». Сегодня мы сравим операторы RxJava 3 и Flow. Статья будет полезна как для изучения операторов, так и для более легкого перехода с RxJava на Flow. Буду рад вашему фидбеку и комметариям.","Kotlin*, Java*, Разработка мобильных приложений*, Разработка под Android*",https://habr.com/ru/articles/856106/
Когда устал от алгоритмов: Ревью кода на собеседовании,5 мин,Количество просмотров10K,"Проходя собеседование в одну из компаний, я столкнулся с задачей, которая выделялась на фоне стандартных вопросов про алгоритмы и структуры данных. Вместо привычной реализации алгоритма мне предложили отревьюить легаси-код. Это было гораздо легче, чем алгоритмы, но не менее эффективно для проверки широты знаний. С тех пор я не расстаюсь с этой задачей уже как собеседующий. Работает гораздо лучше, чем вопросы. Это дает гораздо более реалистичное представление о навыках кандидата, чем типичные вопросы о сортировках или деревьях.","Кодобред, Карьера в IT-индустрии",https://habr.com/ru/articles/850814/
Как я автоматизировал поиск работы при помощи LLM,5 мин,Количество просмотров4K,"В свете последних новостей о сокращениях в IT-индустрии вопрос поиска работы встает все более остро даже для людей, которые в данный момент трудоустроены. Встал он и для меня, так как хоть на данный момент с работой у меня все в порядке, но начали появляться звоночки, намекающие на возможную необходимость ее смены в ближайшее время.","Искусственный интеллект, Машинное обучение*, Карьера в IT-индустрии, Python*",https://habr.com/ru/articles/856104/
Релиз Fedora Linux 41: новые возможности спустя полгода разработки,5 мин,Количество просмотров6.7K,"Привет, Хабр! Это Виктор Сергеев из команды спецпроектов МТС Диджитал. Ну что, прошло полгода, и мы получили обещанное — дождались Fedora Linux 41. Как всегда, новая версия более совершенная, производительная и удобная. Релиз принес с собой новые и обновленные инструменты, а также расширенные возможности для рабочих станций, серверных и облачных сред.","Блог компании МТС, Софт, Операционные системы, Open source*",https://habr.com/ru/companies/ru_mts/articles/856090/
HHH90003004: firstResult/maxResults specified with collection fetch; applying in memory,2 мин,Количество просмотров336,"Это предупреждение, которое выведет хибернейт, если для осуществления пагинации ему придется загрузить ВСЕ данные из таблицы, а не по одной странице.","Java*, SQL*",https://habr.com/ru/articles/856092/
DIY AR монитор в промышленности,10 мин,Количество просмотров4K,"Привет, Хабр!","Блог компании Timeweb Cloud, DIY или Сделай сам, AR и VR, Разработка под Arduino*",https://habr.com/ru/companies/timeweb/articles/852388/
"Знакомьтесь: input, output и model. Новые функции в Angular",8 мин,Количество просмотров3.9K,"Привет всем! Меня зовут Егор Молчанов, я разработчик в компании Домклик.","Блог компании Домклик, Angular*, JavaScript*, Веб-разработка*",https://habr.com/ru/companies/domclick/articles/854530/
Индекс твоего города — Карты на стол,4 мин,Количество просмотров632,Предоставлен доступ к исходному коду для city-indexes.online. Собраны ответы на частые вопрос в одном месте.,"OpenStreetMap*, Геоинформационные сервисы*",https://habr.com/ru/articles/856082/
Как сделать один плагин сразу для всех сборщиков фронтенда?,8 мин,Количество просмотров771,"Здравствуйте, товарищи! Сегодня мы снова поговорим про тулинг для фронтенда. В этот раз обсудим разработку плагинов для сборщиков, таких как: Webpack, Vite, esbuild и подобных. За основу мы возьмем Unplugin.","Веб-разработка*, CSS*, JavaScript*, Системы сборки*, HTML*",https://habr.com/ru/articles/856028/
Я прождал 10 миллиардов тактов и дождался лишь экрана загрузки,7 мин,Количество просмотров15K,"Современное оборудование невероятно быстрое. M1 Max, на котором я пишу эту статью, работает с частотой 3,2 ГГц. То есть 3,2 МИЛЛИАРДА тактов в секунду. Однако Microsoft Teams требуется 3 секунды, чтобы открыть ссылку, и я отказываюсь верить, что для открытия ссылки требуется 9,6 МИЛЛИАРДА тактов. Очевидно, я упрощаю, но смысл остаётся прежним: как так получается, что оборудование становится быстрее, а приложения — только медленнее?","Компьютерное железо, Программирование*, Веб-разработка*, Клиентская оптимизация*",https://habr.com/ru/articles/855972/
Как настроить обмен сообщениями с помощью брокера сообщений Kafka,10 мин,Количество просмотров6.5K,"Привет, меня зовут Вячеслав Бенедичук, я лид группы разработки в отрасли FMCG и наставник на курсе «Архитектура программного обеспечения» в Яндекс Практикуме.","Блог компании Яндекс Практикум, Программирование*, Анализ и проектирование систем*, Карьера в IT-индустрии",https://habr.com/ru/companies/yandex_praktikum/articles/854442/
Что ищет он в краю далёком? Как найти смысл жизни с PostgreSQL,31 мин,Количество просмотров3.9K,"Эта статья родилась из пары лекций, которые я прочитал студентам в рамках курса, посвященного вопросам машинного обучения. Почему именно PostgreSQL? Почему векторы? За последние два года тема языковых моделей стала невероятно популярной, и вместе с этим появилось множество инструментов, доступных даже начинающему инженеру, стремящемуся познакомиться с миром текстового анализа.","Блог компании Ростелеком, Поисковые технологии*, PostgreSQL*, Машинное обучение*, Искусственный интеллект",https://habr.com/ru/companies/rostelecom/articles/855712/
"Детское программирование: 10 проектов, которые могут создать дети",6 мин,Количество просмотров6.5K,"Детское программирование пусть и кажется спорной и даже сомнительной темой, но навыки, которые ребята получают на курсах кодинга или путем самостоятельных занятий, закладывают основы формирования личности XXI века. Знания и умения, связанные с IT, способствуют развитию компьютерной грамотности, часто становятся полезными в школьном обучении, домашних делах и даже в момент профессионального самоопределения.","Блог компании Пиксель, Программирование*, Визуальное программирование*",https://habr.com/ru/companies/pixel_study/articles/856076/
"Битрикс. Оптимизация сервиса, который помогает устранять опасности",12 мин,Количество просмотров1.4K,"Представьте: горячий металл, мощные машины, сотни работников — наше производство постоянно подвержено различным рискам. И как мы превратили эти вызовы в возможности? Этот рассказ будет о том, как мы воплотили в жизнь инновационную для компании систему сбора заявок об опасностях, о наших успехах, о трудностях, с которыми мы столкнулись, и о том, какие уроки мы извлекли из этого опыта. Давайте окунемся в мир цифровых решений и безопасности труда вместе!","Блог компании НЛМК ИТ, PHP*",https://habr.com/ru/companies/nlmk/articles/849042/
Запускаем Linux на Python,4 мин,Количество просмотров10K,"На чем только уже не запускали Doom. Мы же будем запускать Linux. Да не где-нибудь, а на Python. Да-да, прямо внутри него, где в качестве среды выполнения будет выступать интерпретатор Python. Ну как... Не будем пытаться переписать ядро и другие части Linux на этот язык, а попробуем написать (точнее портировать) виртуальную машину на Python и уже в ней запускать ОС.","Python*, Системное программирование*, Операционные системы",https://habr.com/ru/articles/856004/
Как продлить срок службы кровли: встраиваем датчики протечки,6 мин,Количество просмотров3.5K,"Протечки кровли в многоквартирных домах — головная боль обслуживающих организаций. Кровельные материалы изнашиваются, но также могут повлиять внешние факторы типа физических воздействий на гидроизоляционный слой или дефекты материала. Ошибки строителей тоже исключать нельзя. Появляются протечки, их начинают устранять по мере выявления, обычно слишком поздно, так как влага уже проникла на большую площадь. Все это приводит к преждевременному разрушению конструкции кровли, увлажнение материалов кровли приводит к дополнительным повреждениям, поэтому и капитальный ремонт кровли придется проводить раньше.","Блог компании Wiren Board, DIY или Сделай сам, Инженерные системы*, Умный дом, Производство и разработка электроники*",https://habr.com/ru/companies/wirenboard/articles/855828/
Грязные трюки C++ из userver и Boost,15 мин,Количество просмотров11K,"Привет, я Антон Полухин из Техплатформы Екома и Райдтеха Яндекса. Моя команда разрабатывает userver — современный опенсорсный асинхронный фреймворк с богатым набором абстракций для быстрого и комфортного создания микросервисов, сервисов и утилит на C++.","Блог компании Яндекс, C++*, Программирование*, Open source*, C*",https://habr.com/ru/companies/yandex/articles/852244/
Работа с географическими координатами с использованием пакета «Shapely» в Python на примере автотестов,8 мин,Количество просмотров1.1K,"Здравствуй, Хабр! В этой статье я хочу рассмотреть пакет Python под названием ""Shapely"" и показать, как он может помочь в решении задач, как уже помог мне.","Python*, Тестирование веб-сервисов*",https://habr.com/ru/articles/855890/
Полный захват аккаунта в одной из крупнейших компаний электронной коммерции,3 мин,Количество просмотров5.6K,"Привет всем,","Информационная безопасность*, Bug hunters*",https://habr.com/ru/articles/856060/
Как хантить безопасников,15 мин,Количество просмотров2.1K,"В жизни каждого HR-а рано или поздно встречается ОН… Безопасник! И как подступиться к хантингу людей на эту позицию - обычно, бывает непонятно.","Информационная безопасность*, Антивирусная защита*, Карьера в IT-индустрии, Криптография*, Управление персоналом*",https://habr.com/ru/articles/855788/
Как некорректная разработка API может привести к удалению пользователей,3 мин,Количество просмотров955,"В продолжение рассказа об уязвимостях, которые были обнаружены пентестерами УЦСБ  и легли в основу кейсов на премии Pentest Award, публикуем разбор следующего реального примера.","Блог компании Уральский центр систем безопасности, Информационная безопасность*",https://habr.com/ru/companies/ussc/articles/856056/
Программирование контроллера звуком с телефона — заметки на полпути,6 мин,Количество просмотров3.5K,"С настольного компьютера или ноутбука мы прошиваем микроконтроллеры обычно через USB, да часто и с каким-нибудь программатором. А что если мы хотим прошить или сконфигурировать поделку с телефона? Некоторые телефоны имеют USB-OTG. Некоторые контроллеры умеют BlueTooth. Существуют системы поддерживающие WiFi. К сожалению всё это не носит массового характера - нужен подходящий телефон, подходящий контроллер и т.п.","Электроника для начинающих, Программирование микроконтроллеров*, DIY или Сделай сам, Разработка под Arduino*",https://habr.com/ru/articles/856022/
Контроль покрытия T-SQL,9 мин,Количество просмотров1.2K,Содержание,"Microsoft SQL Server*, Управление разработкой*, DevOps*",https://habr.com/ru/articles/855662/
Работа в «песочнице» с торговым роботом на Московской бирже,6 мин,Количество просмотров2.8K,Перед тем как использовать торгового робота на живых деньгах хочется всё протестировать на  демо-счете (или «песочнице»). Это когда программные ошибки не имеют особой стоимости.,"Open source*, Финансы в IT, JavaScript*, Node.JS*",https://habr.com/ru/articles/855302/
Хеджирование Uniswap V3 позиций с помощью опционов,3 мин,Количество просмотров1.5K,"В этой статье мы рассмотрим, как с помощью опционов можно хеджировать юнисваповские позиции","Python*, Финансы в IT, Математика*, Децентрализованные сети*, Криптовалюты",https://habr.com/ru/articles/855990/
Мониторинг качества и готовности к релизу: наши практики и инструменты,7 мин,Количество просмотров3K,"В условиях роста требований к качеству и быстрых циклов разработки важно точно знать, в каком состоянии находится продукт перед релизом. Если тестирование недостаточно прозрачно, можно случайно выпустить нестабильную версию, что грозит техническими проблемами и снижением доверия пользователей.","Тестирование IT-систем*, Визуализация данных*",https://habr.com/ru/articles/856012/
Может ли C# догнать C?,12 мин,Количество просмотров10K,"Современное сообщество программистов разбито на два лагеря - на тех, кто любит языки программирования с управляемой памятью, и тех кто их не любит. Два лагеря яро спорят друг с другом, ломая копья по поводу преимуществ в каком-то из аспектов программирования. Языки с неуправляемой памятью представляются как более быстрые, управляемые, контролируемые. А языки с управляемой памятью считаются более удобными в разроботке, в то время как их отставание по скорости выполнения и потребляемой памяти считается несущественным. В этой статье мы проверим, так ли это на самом деле. Со стороны олдскульных языков программирования выступит мастодонт мира разработки - С.Сторону языков последних поколений будет представлять С#.",".NET*, C#*, C*",https://habr.com/ru/articles/856018/
Prolog: три портрета через 50 лет,25 мин,Количество просмотров4.2K,"Давайте вернёмся в историческое прошлое и посмотрим на события периода с 1970 по 1976 годы глазами создателей языка логического программирования Prolog: Алана Колмероэ, Роберта Ковальски и Дэвида Уоррена.","Prolog*, История IT, Научно-популярное",https://habr.com/ru/articles/856008/
Диалог — часть навигации или нет?,5 мин,Количество просмотров2.1K,"Недавно я начал разработку собственной библиотеки для UI-навигации на Kotlin Multiplatform. Создать решение, которое бы удовлетворяло все творческие задумки дизайнеров и продуктовых менеджеров, оказалось задачей непростой. Поэтому я решил делиться концепцией и функциональными возможностями библиотеки еще на стадии разработки, чтобы получать обратную связь от коллег-разработчиков.","Разработка под Android*, Jetpack Compose*, Разработка мобильных приложений*",https://habr.com/ru/articles/854988/
